DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-07-15,457.0,464.75,420.0,442.67498779296875,6868
2024-07-16,449.4750061035156,451.0,439.92498779296875,450.70001220703125,526
2024-07-18,452.5,460.0,435.9750061035156,451.7250061035156,2914
2024-07-19,445.0,445.0,436.9750061035156,438.6000061035156,2548
2024-07-22,447.375,450.0,435.0,436.57501220703125,2258
2024-07-23,442.42498779296875,449.75,437.25,439.17498779296875,1112
2024-07-24,450.0,452.4750061035156,442.5,445.0,10180
2024-07-25,452.5,452.5,438.0249938964844,449.70001220703125,688
2024-07-26,451.3500061035156,451.3500061035156,435.0,435.7749938964844,2048
2024-07-29,450.0,450.0,435.0,437.1499938964844,2254
2024-07-30,447.5,447.5,420.0,432.1499938964844,4294
2024-07-31,421.5,434.4750061035156,421.0,428.92498779296875,1826
2024-08-01,428.8999938964844,436.4750061035156,420.04998779296875,423.7749938964844,1388
2024-08-02,442.5,442.5,422.5,428.5249938964844,1512
2024-08-05,426.17498779296875,434.0,413.0249938964844,418.625,1484
2024-08-06,413.75,435.0,410.0,412.7250061035156,1858
2024-08-07,410.5,433.5,399.5,410.82501220703125,4278
2024-08-08,430.0,430.0,406.0,410.6499938964844,2498
2024-08-09,425.0,442.20001220703125,328.5249938964844,395.29998779296875,15740
2024-08-12,402.0,445.0,395.04998779296875,422.1000061035156,9204
2024-08-13,429.0,430.57501220703125,410.0,412.04998779296875,1334
2024-08-14,419.8999938964844,435.0,403.0,424.82501220703125,9766
2024-08-16,452.5,509.7749938964844,452.5,509.7749938964844,137398
2024-08-19,508.9750061035156,508.9750061035156,468.07501220703125,479.3500061035156,54574
2024-08-20,477.4750061035156,497.5,469.75,475.70001220703125,20046
2024-08-21,474.7749938964844,502.9750061035156,471.7749938964844,489.79998779296875,15016
2024-08-22,480.04998779296875,507.5,477.0,488.67498779296875,26066
2024-08-23,499.5,499.5,477.67498779296875,481.0249938964844,3342
2024-08-26,476.04998779296875,499.5,476.04998779296875,486.54998779296875,7244
2024-08-27,494.29998779296875,495.0,482.5249938964844,489.5249938964844,12404
2024-08-28,495.0,502.5,491.0,499.3500061035156,6998
2024-08-29,502.0,524.4000244140625,475.0,479.54998779296875,12820
2024-08-30,486.75,499.5,482.5,487.70001220703125,12114
2024-09-02,495.0249938964844,499.0,481.70001220703125,490.29998779296875,3170
2024-09-03,495.0,496.5,484.7749938964844,489.9750061035156,5210
2024-09-04,484.5,490.0,475.70001220703125,485.07501220703125,2354
2024-09-05,497.5,497.5,482.54998779296875,486.7250061035156,3286
2024-09-06,489.5,489.5,475.54998779296875,479.70001220703125,9832
2024-09-09,479.70001220703125,489.9750061035156,469.04998779296875,473.7250061035156,7394
2024-09-10,473.7250061035156,479.8999938964844,473.7250061035156,475.79998779296875,1524
2024-09-11,483.0,483.20001220703125,465.0,467.9750061035156,1076
2024-09-12,472.375,472.5,467.75,469.875,6866
2024-09-13,469.875,469.875,455.04998779296875,461.7250061035156,1160
2024-09-16,465.0,465.0,438.45001220703125,453.25,3772
2024-09-17,457.7250061035156,465.0,457.7250061035156,464.1499938964844,910
2024-09-18,465.0,524.2000122070312,458.125,496.0,9080
2024-09-19,504.4750061035156,594.8499755859375,497.0249938964844,554.0750122070312,411730
2024-09-20,543.0,547.0999755859375,517.5499877929688,521.2999877929688,27256
2024-09-23,520.0,520.0,501.0,506.4750061035156,12884
